span,bf_size,sample_count
102,52928,1
110,113448,1
112,137272,3
113,151000,2
114,166104,4
115,182712,4
116,200984,3
117,221080,7
118,243184,4
119,267504,5
120,294256,7
121,323680,8
122,356048,14
123,391656,15
124,430816,17
125,473896,16
126,521288,29
127,573416,22
128,630760,32
129,693832,38
130,763216,36
131,839536,70
132,923488,62
133,1015840,82
134,1117424,84
135,1229168,88
136,1352080,109
137,1487288,117
138,1636016,154
139,1799624,203
140,1979584,216
141,2177544,315
142,2395296,289
143,2634824,335
144,2898304,400
145,3188136,459
146,3506952,516
147,3857648,595
148,4243408,661
149,4667752,753
150,5134528,863
151,5647976,1022
152,6212776,1063
153,6834048,1234
154,7517456,1392
155,8269200,1654
156,9096120,1864
157,10005736,2072
158,11006304,2244
159,12106936,2439
160,13317632,2792
161,14649392,3132
162,16114328,3454
163,17725768,3773
164,19498344,4153
165,21448176,4578
166,23592992,4861
167,25952288,5421
168,28547520,5844
169,31402272,6303
170,34542496,6912
171,37996744,7672
172,41796424,8199
173,45976064,8846
174,50573672,9606
175,55631032,10559
176,61194136,11094
177,67313552,11938
178,74044904,12571
179,81449400,13668
180,89594336,14518
181,98553768,15644
182,108409144,16537
183,119250064,17395
184,131175072,18126
185,144292576,19315
186,158721832,20652
187,174594016,21345
188,192053416,22200
189,211258760,23189
190,232384632,24301
191,255623096,25344
192,281185408,26506
193,309303944,27311
194,340234336,28305
195,374257776,29056
196,411683552,30104
197,452851904,30681
198,498137096,31987
199,547950808,32540
200,602745888,33283
201,663020472,33904
202,729322520,34360
203,802254768,34649
204,882480248,35322
205,970728272,35329
206,1067801096,36195
207,1174581208,35822
208,1292039328,36495
209,1421243264,36733
210,1563367584,36350
211,1719704344,36419
212,1891674784,36219
213,2080842256,36150
214,2288926488,35728
215,2517819136,34964
216,2769601048,35598
217,3046561152,34392
218,3351217264,34056
219,3686338992,33553
220,4054972888,32160
221,4460470176,31803
222,4906517192,31248
223,5397168912,30496
224,5936885808,29362
225,6530574384,28573
226,7183631824,27639
227,7901995008,27074
228,8692194504,26108
229,9561413960,24658
230,10517555352,23735
231,11569310888,22752
232,12726241976,21724
233,13998866176,20641
234,15398752792,19714
235,16938628064,18897
236,18632490872,17456
237,20495739960,16677
238,22545313960,15731
239,24799845352,14854
240,27279829888,13750
241,30007812872,13131
242,33008594160,12073
243,36309453576,11332
244,39940398936,10582
245,43934438832,9957
246,48327882712,9095
247,53160670984,8392
248,58476738080,7723
249,64324411888,7320
250,70756853080,6634
251,77832538384,6036
252,85615792224,5460
253,94177371448,5109
254,103595108592,4680
255,113954619448,4297
256,125350081392,3778
257,137885089536,3473
258,151673598488,3232
259,166840958336,2685
260,183525054168,2487
261,201877559584,2283
262,222065315544,2041
263,244271847096,1924
264,268699031800,1649
265,295568934984,1483
266,325125828480,1267
267,357638411328,1181
268,393402252464,1019
269,432742477704,923
270,476016725480,820
271,523618398024,714
272,575980237832,622
273,633578261608,518
274,696936087768,500
275,766629696552,410
276,843292666200,355
277,927621932824,296
278,1020384126104,266
279,1122422538712,245
280,1234664792584,178
281,1358131271848,185
282,1493944399032,173
283,1643338838928,139
284,1807672722824,111
285,1988439995104,89
286,2187283994616,84
287,2406012394080,65
288,2646613633488,65
289,2911274996832,42
290,3202402496520,44
291,3522642746168,31
292,3874907020784,36
293,4262397722864,18
294,4688637495144,19
295,5157501244664,10
296,5673251369128,18
297,6240576506040,8
298,6864634156648,11
299,7551097572312,10
300,8306207329536,9
301,9136828062496,7
302,10050510868744,5
303,11055561955616,1
304,12161118151176,4
305,13377229966296,2
306,14714952962928,2
307,16186448259216,3
308,17805093085136,1
309,19585602393648,3
310,21544162633016,1
311,23698578896320,1
312,26068436785952,2
313,28675280464544,1
315,34697089362096,1
323,74376292496160,1
