span,bf_size,sample_count
107,85240,1
108,93760,1
109,103136,1
110,113448,1
111,124792,2
112,137272,1
113,151000,3
114,166104,3
115,182712,5
116,200984,4
117,221080,7
118,243184,5
119,267504,11
120,294256,12
121,323680,9
122,356048,15
123,391656,15
124,430816,15
125,473896,22
126,521288,26
127,573416,28
128,630760,27
129,693832,33
130,763216,51
131,839536,56
132,923488,66
133,1015840,73
134,1117424,100
135,1229168,113
136,1352080,131
137,1487288,140
138,1636016,179
139,1799624,191
140,1979584,216
141,2177544,247
142,2395296,280
143,2634824,346
144,2898304,387
145,3188136,439
146,3506952,527
147,3857648,636
148,4243408,675
149,4667752,756
150,5134528,947
151,5647976,978
152,6212776,1116
153,6834048,1272
154,7517456,1410
155,8269200,1637
156,9096120,1728
157,10005736,2062
158,11006304,2119
159,12106936,2419
160,13317632,2660
161,14649392,2990
162,16114328,3453
163,17725768,3746
164,19498344,4071
165,21448176,4537
166,23592992,4912
167,25952288,5257
168,28547520,5932
169,31402272,6706
170,34542496,7084
171,37996744,7620
172,41796424,8090
173,45976064,9020
174,50573672,9753
175,55631032,10322
176,61194136,11237
177,67313552,11871
178,74044904,12758
179,81449400,13797
180,89594336,14634
181,98553768,15394
182,108409144,16482
183,119250064,17121
184,131175072,18275
185,144292576,19209
186,158721832,20058
187,174594016,21321
188,192053416,22409
189,211258760,23379
190,232384632,24436
191,255623096,25237
192,281185408,26501
193,309303944,27628
194,340234336,28189
195,374257776,29287
196,411683552,29687
197,452851904,31045
198,498137096,31604
199,547950808,32571
200,602745888,33065
201,663020472,33734
202,729322520,34224
203,802254768,34674
204,882480248,35378
205,970728272,35892
206,1067801096,36531
207,1174581208,36315
208,1292039328,36341
209,1421243264,36579
210,1563367584,36681
211,1719704344,36597
212,1891674784,36477
213,2080842256,36258
214,2288926488,35883
215,2517819136,35399
216,2769601048,34942
217,3046561152,34452
218,3351217264,33942
219,3686338992,33518
220,4054972888,32949
221,4460470176,31796
222,4906517192,31221
223,5397168912,30457
224,5936885808,29434
225,6530574384,28640
226,7183631824,27443
227,7901995008,26255
228,8692194504,25773
229,9561413960,24569
230,10517555352,23610
231,11569310888,23005
232,12726241976,21864
233,13998866176,20546
234,15398752792,19629
235,16938628064,18598
236,18632490872,17626
237,20495739960,16521
238,22545313960,15767
239,24799845352,14929
240,27279829888,13603
241,30007812872,13057
242,33008594160,12105
243,36309453576,11407
244,39940398936,10519
245,43934438832,9857
246,48327882712,9071
247,53160670984,8429
248,58476738080,7792
249,64324411888,6953
250,70756853080,6503
251,77832538384,6181
252,85615792224,5540
253,94177371448,5046
254,103595108592,4683
255,113954619448,4228
256,125350081392,3861
257,137885089536,3447
258,151673598488,3148
259,166840958336,2907
260,183525054168,2517
261,201877559584,2293
262,222065315544,2193
263,244271847096,1812
264,268699031800,1562
265,295568934984,1478
266,325125828480,1316
267,357638411328,1194
268,393402252464,1087
269,432742477704,882
270,476016725480,808
271,523618398024,689
272,575980237832,573
273,633578261608,513
274,696936087768,483
275,766629696552,409
276,843292666200,375
277,927621932824,330
278,1020384126104,245
279,1122422538712,232
280,1234664792584,185
281,1358131271848,199
282,1493944399032,150
283,1643338838928,135
284,1807672722824,103
285,1988439995104,88
286,2187283994616,78
287,2406012394080,62
288,2646613633488,52
289,2911274996832,54
290,3202402496520,40
291,3522642746168,37
292,3874907020784,26
293,4262397722864,25
294,4688637495144,23
295,5157501244664,12
296,5673251369128,5
297,6240576506040,11
298,6864634156648,6
299,7551097572312,1
300,8306207329536,5
301,9136828062496,3
302,10050510868744,5
303,11055561955616,4
304,12161118151176,3
305,13377229966296,4
306,14714952962928,5
308,17805093085136,2
309,19585602393648,2
312,26068436785952,1
314,31542808511000,1
315,34697089362096,1
316,38166798298304,2
323,74376292496160,1
