span,bf_size,sample_count
101,48112,1
104,64040,1
105,70448,1
107,85240,2
109,103136,1
110,113448,1
112,137272,3
113,151000,1
114,166104,3
115,182712,2
116,200984,7
117,221080,3
118,243184,7
119,267504,4
120,294256,9
121,323680,7
122,356048,12
123,391656,22
124,430816,18
125,473896,18
126,521288,22
127,573416,31
128,630760,32
129,693832,38
130,763216,47
131,839536,49
132,923488,67
133,1015840,74
134,1117424,101
135,1229168,110
136,1352080,126
137,1487288,132
138,1636016,177
139,1799624,169
140,1979584,210
141,2177544,257
142,2395296,326
143,2634824,330
144,2898304,352
145,3188136,428
146,3506952,502
147,3857648,611
148,4243408,655
149,4667752,762
150,5134528,854
151,5647976,985
152,6212776,1134
153,6834048,1268
154,7517456,1432
155,8269200,1598
156,9096120,1781
157,10005736,1953
158,11006304,2210
159,12106936,2462
160,13317632,2744
161,14649392,3099
162,16114328,3370
163,17725768,3868
164,19498344,4162
165,21448176,4503
166,23592992,4985
167,25952288,5438
168,28547520,5872
169,31402272,6474
170,34542496,6951
171,37996744,7573
172,41796424,8194
173,45976064,9040
174,50573672,9553
175,55631032,10364
176,61194136,11015
177,67313552,12063
178,74044904,12692
179,81449400,13574
180,89594336,14502
181,98553768,15453
182,108409144,16503
183,119250064,17447
184,131175072,18357
185,144292576,19405
186,158721832,20358
187,174594016,21430
188,192053416,22338
189,211258760,23414
190,232384632,24399
191,255623096,25265
192,281185408,26517
193,309303944,27310
194,340234336,28382
195,374257776,29114
196,411683552,29738
197,452851904,31012
198,498137096,31650
199,547950808,32534
200,602745888,33009
201,663020472,33658
202,729322520,34183
203,802254768,35126
204,882480248,35069
205,970728272,35761
206,1067801096,36017
207,1174581208,36061
208,1292039328,36568
209,1421243264,36747
210,1563367584,36651
211,1719704344,36551
212,1891674784,36329
213,2080842256,36215
214,2288926488,35522
215,2517819136,35468
216,2769601048,35306
217,3046561152,34409
218,3351217264,34112
219,3686338992,33329
220,4054972888,32452
221,4460470176,32335
222,4906517192,30991
223,5397168912,30154
224,5936885808,29417
225,6530574384,28653
226,7183631824,27768
227,7901995008,26917
228,8692194504,25742
229,9561413960,24584
230,10517555352,23851
231,11569310888,22575
232,12726241976,21643
233,13998866176,20576
234,15398752792,19793
235,16938628064,18641
236,18632490872,17439
237,20495739960,16761
238,22545313960,15616
239,24799845352,14715
240,27279829888,13849
241,30007812872,12947
242,33008594160,11987
243,36309453576,11546
244,39940398936,10565
245,43934438832,9705
246,48327882712,9179
247,53160670984,8505
248,58476738080,7694
249,64324411888,7200
250,70756853080,6664
251,77832538384,6132
252,85615792224,5574
253,94177371448,4973
254,103595108592,4593
255,113954619448,4400
256,125350081392,3849
257,137885089536,3483
258,151673598488,3173
259,166840958336,2825
260,183525054168,2494
261,201877559584,2317
262,222065315544,2055
263,244271847096,1783
264,268699031800,1627
265,295568934984,1517
266,325125828480,1314
267,357638411328,1157
268,393402252464,1037
269,432742477704,970
270,476016725480,793
271,523618398024,676
272,575980237832,609
273,633578261608,571
274,696936087768,503
275,766629696552,440
276,843292666200,353
277,927621932824,308
278,1020384126104,283
279,1122422538712,222
280,1234664792584,191
281,1358131271848,194
282,1493944399032,161
283,1643338838928,122
284,1807672722824,97
285,1988439995104,91
286,2187283994616,83
287,2406012394080,69
288,2646613633488,42
289,2911274996832,41
290,3202402496520,49
291,3522642746168,30
292,3874907020784,36
293,4262397722864,29
294,4688637495144,16
295,5157501244664,17
296,5673251369128,12
297,6240576506040,4
298,6864634156648,9
299,7551097572312,9
300,8306207329536,6
301,9136828062496,7
302,10050510868744,5
303,11055561955616,2
304,12161118151176,2
305,13377229966296,3
306,14714952962928,5
307,16186448259216,4
308,17805093085136,2
309,19585602393648,1
310,21544162633016,1
311,23698578896320,2
313,28675280464544,1
322,67614811360144,1
