span,bf_size,sample_count
104,64040,1
107,85240,1
109,103136,2
110,113448,2
111,124792,2
112,137272,2
113,151000,2
115,182712,4
116,200984,6
117,221080,3
118,243184,3
119,267504,7
120,294256,4
121,323680,10
122,356048,12
123,391656,14
124,430816,19
125,473896,27
126,521288,25
127,573416,35
128,630760,31
129,693832,37
130,763216,33
131,839536,46
132,923488,75
133,1015840,81
134,1117424,83
135,1229168,129
136,1352080,118
137,1487288,138
138,1636016,187
139,1799624,190
140,1979584,261
141,2177544,293
142,2395296,281
143,2634824,369
144,2898304,385
145,3188136,472
146,3506952,525
147,3857648,584
148,4243408,721
149,4667752,769
150,5134528,882
151,5647976,1039
152,6212776,1099
153,6834048,1243
154,7517456,1446
155,8269200,1641
156,9096120,1793
157,10005736,2084
158,11006304,2267
159,12106936,2409
160,13317632,2769
161,14649392,3003
162,16114328,3417
163,17725768,3726
164,19498344,4269
165,21448176,4445
166,23592992,5011
167,25952288,5379
168,28547520,5860
169,31402272,6390
170,34542496,7048
171,37996744,7776
172,41796424,8272
173,45976064,8826
174,50573672,9673
175,55631032,10266
176,61194136,11098
177,67313552,12008
178,74044904,12834
179,81449400,13545
180,89594336,14361
181,98553768,15623
182,108409144,16354
183,119250064,17302
184,131175072,18290
185,144292576,19279
186,158721832,20361
187,174594016,21231
188,192053416,22534
189,211258760,23324
190,232384632,24412
191,255623096,25243
192,281185408,26411
193,309303944,27404
194,340234336,27989
195,374257776,28929
196,411683552,30305
197,452851904,30823
198,498137096,31770
199,547950808,32692
200,602745888,33251
201,663020472,33703
202,729322520,34416
203,802254768,34920
204,882480248,35229
205,970728272,35685
206,1067801096,36317
207,1174581208,36189
208,1292039328,36862
209,1421243264,36265
210,1563367584,36456
211,1719704344,36280
212,1891674784,36229
213,2080842256,36506
214,2288926488,35587
215,2517819136,35636
216,2769601048,35117
217,3046561152,34806
218,3351217264,34118
219,3686338992,33510
220,4054972888,32923
221,4460470176,31632
222,4906517192,31385
223,5397168912,30052
224,5936885808,29287
225,6530574384,28633
226,7183631824,27617
227,7901995008,26495
228,8692194504,25486
229,9561413960,24569
230,10517555352,23742
231,11569310888,22743
232,12726241976,21563
233,13998866176,20519
234,15398752792,19512
235,16938628064,18542
236,18632490872,17533
237,20495739960,16550
238,22545313960,15899
239,24799845352,14881
240,27279829888,13791
241,30007812872,12955
242,33008594160,12305
243,36309453576,11319
244,39940398936,10498
245,43934438832,9785
246,48327882712,9234
247,53160670984,8629
248,58476738080,7701
249,64324411888,7066
250,70756853080,6702
251,77832538384,6047
252,85615792224,5546
253,94177371448,5019
254,103595108592,4742
255,113954619448,4250
256,125350081392,3755
257,137885089536,3456
258,151673598488,3189
259,166840958336,2799
260,183525054168,2536
261,201877559584,2292
262,222065315544,2076
263,244271847096,1947
264,268699031800,1677
265,295568934984,1536
266,325125828480,1324
267,357638411328,1207
268,393402252464,1029
269,432742477704,871
270,476016725480,747
271,523618398024,673
272,575980237832,587
273,633578261608,514
274,696936087768,473
275,766629696552,389
276,843292666200,378
277,927621932824,322
278,1020384126104,247
279,1122422538712,250
280,1234664792584,211
281,1358131271848,180
282,1493944399032,147
283,1643338838928,141
284,1807672722824,95
285,1988439995104,91
286,2187283994616,77
287,2406012394080,60
288,2646613633488,67
289,2911274996832,47
290,3202402496520,38
291,3522642746168,28
292,3874907020784,23
293,4262397722864,28
294,4688637495144,19
295,5157501244664,12
296,5673251369128,16
297,6240576506040,13
298,6864634156648,10
299,7551097572312,10
300,8306207329536,8
301,9136828062496,3
302,10050510868744,4
303,11055561955616,4
304,12161118151176,1
305,13377229966296,3
306,14714952962928,3
307,16186448259216,2
308,17805093085136,1
310,21544162633016,1
312,26068436785952,2
313,28675280464544,2
317,41983478128136,1
